code,current_code,announced_on,old_registry,new_registry,headline,classification,method,pdf_url
PVT,PVT,2024-12-06,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20241206/pdf/06cc8pfjws7kpf.pdf
WOA,WOA,2024-12-05,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241205/pdf/06c9j7mqvqf979.pdf
MCA,MCA,2024-12-03,Automic,MUFG Corporate Markets,Change of Share Registry Notification,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20241203/pdf/06c60vhlr1mfls.pdf
ROG,ROG,2024-11-29,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20241129/pdf/06c27pmlws5bp9.pdf
LVE,LVE,2024-11-18,Automic,Xcend,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241118/pdf/06bj0b6nbvl9r2.pdf
AFI,AFI,2024-10-30,Computershare,MUFG Corporate Markets,Change of Share Register Notification,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20241030/pdf/069t6105xpp2r5.pdf
AMH,AMH,2024-10-30,Computershare,MUFG Corporate Markets,Change of Share Register Notification,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20241030/pdf/069t704h1kzlx2.pdf
DJW,DJW,2024-10-30,Computershare,MUFG Corporate Markets,Change of Share Register Notification,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20241030/pdf/069t74py0c2y61.pdf
MIR,MIR,2024-10-30,Computershare,MUFG Corporate Markets,Change of Share Register Notification,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20241030/pdf/069t72jbm7yrq2.pdf
LKO,LKO,2024-10-23,Computershare,Boardroom,Change of Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241023/pdf/069gkfq0qfnnz4.pdf
GLH,GLH,2024-10-07,MUFG Corporate Markets,Boardroom,Change of Share Registry Provider,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241007/pdf/068tlrpct0s4rb.pdf
ATH,ATH,2024-10-04,Computershare,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20241004/pdf/068rm0g0lngkts.pdf
TKM,TKM,2024-09-20,Computershare,Automic,Change of Share Registry details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240920/pdf/06831q9c2yw9kv.pdf
VTM,VTM,2024-09-20,Computershare,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240920/pdf/0683yqz6ctqrlf.pdf
NMR,NMR,2024-09-13,Boardroom,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240913/pdf/067vhtnv0m17yw.pdf
PAM,FLG,2024-09-12,Automic,MUFG Corporate Markets,Change of Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240912/pdf/067sp6p8r1pztw.pdf
WOT,WOT,2024-09-06,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240906/pdf/067ll2bywj5y94.pdf
AFL,AFL,2024-08-30,Automic,Computershare,AFL Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240830/pdf/067b7g0l0n8x3q.pdf
DVP,DVP,2024-08-30,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240830/pdf/067b17v434c9dz.pdf
TTM,TTM,2024-08-30,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240830/pdf/0679v71sgx8zpm.pdf
ARC,ARC,2024-08-29,Boardroom,Registry Direct,Change of share registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240829/pdf/0677wc96tn3sjq.pdf
AX8,AX8,2024-08-23,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240823/pdf/066z7swcpnw1cm.pdf
UOS,UOS,2024-08-16,Automic,Xcend,Change of Share Registry Details,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240816/pdf/066pncz84pfnl2.pdf
RND,RND,2024-08-15,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240815/pdf/066nn823w1qlp0.pdf
TBR,TBR,2024-08-15,Automic,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240815/pdf/066nc6m851qsqx.pdf
PVL,PVL,2024-07-29,Computershare,Xcend,Change of Share Registry,provider_change,cease_plus_one,https://announcements.asx.com.au/asxpdf/20240729/pdf/0660mnfrx4yrcl.pdf
EOS,EOS,2024-07-26,Computershare,MUFG Corporate Markets,Change of Share Registry,provider_change,one_brand+prior_doc,https://announcements.asx.com.au/asxpdf/20240726/pdf/065ynn98vb8nx4.pdf
EE1,EE1,2024-07-22,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240722/pdf/065snhnmq4p120.pdf
LYK,YUG,2024-07-19,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240719/pdf/065r2rz9q1l010.pdf
FCL,FCL,2024-07-15,Boardroom,Automic,Change of Share Registry Details,provider_change,prior_doc+next_doc,https://announcements.asx.com.au/asxpdf/20240715/pdf/065l6z4sksx6s0.pdf
TG1,TG1,2024-07-08,Automic,Computershare,Change of Share Registry Notification,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240708/pdf/065cwjgy837fc0.pdf
